acpi-support-base 0.140-5+deb7u3
acpid 1:2.0.16-1+deb7u1
adduser 3.113+nmu3
alembic 0.6.2+ds-1~bpo70+1
apache2 2.2.22-13+deb7u3
apache2-mpm-worker 2.2.22-13+deb7u3
apache2-utils 2.2.22-13+deb7u3
apache2.2-bin 2.2.22-13+deb7u3
apache2.2-common 2.2.22-13+deb7u3
apt 0.9.7.9+deb7u6
apt-utils 0.9.7.9+deb7u6
at 3.1.13-2+deb7u1
augeas-lenses 0.10.0-1
augeas-tools 0.10.0-1
base-files 7.1wheezy7
base-passwd 3.5.26
bash 4.2+dfsg-0.1+deb7u3
bash-completion 1:2.0-1
bc 1.06.95-2+b1
bind9-host 1:9.8.4.dfsg.P1-6+nmu2+deb7u2
binutils 2.22-8
bridge-utils 1.5-6
bsdmainutils 9.0.3
bsdutils 1:2.20.1-5.3
build-essential 11.5
bzip2 1.0.6-4
ca-certificates 20130119+deb7u1
ceilometer-agent-central 2014.1.2-1~bpo70+1
ceilometer-agent-compute 2014.1.2-1~bpo70+1
ceilometer-agent-notification 2014.1.2-1~bpo70+1
ceilometer-alarm-evaluator 2014.1.2-1~bpo70+1
ceilometer-alarm-notifier 2014.1.2-1~bpo70+1
ceilometer-api 2014.1.2-1~bpo70+1
ceilometer-collector 2014.1.2-1~bpo70+1
ceilometer-common 2014.1.2-1~bpo70+1
ceph 0.80.1-1~bpo70+1
ceph-common 0.80.1-1~bpo70+1
ceph-mds 0.80.1-1~bpo70+1
cinder-api 2014.1.2-1~bpo70+1
cinder-backup 2014.1.2-1~bpo70+1
cinder-common 2014.1.2-1~bpo70+1
cinder-scheduler 2014.1.2-1~bpo70+1
cinder-volume 2014.1.2-1~bpo70+1
cloud-init 0.7.2-3~bpo70+1
cloud-initramfs-growroot 0.18.debian5
cloud-utils 0.26-2~bpo70+1
cluster-glue 1.0.9+hg2665-1
coreutils 8.13-3.5
corosync 1.4.2-3
cpio 2.11+dfsg-0.1
cpp 4:4.7.2-1
cpp-4.6 4.6.3-14
cpp-4.7 4.7.2-5
crash 6.0.6-1
cron 3.0pl1-124
cryptsetup-bin 2:1.4.3-4
curl 7.29.0-1~bpo70+1.ceph
dash 0.5.7-3
dbconfig-common 1.8.47+nmu1
debconf 1.5.49
debconf-i18n 1.5.49
debian-archive-keyring 2014.1~deb7u1
debianutils 4.3.2
diffutils 1:3.2-6
dmidecode 2.11-9
dmsetup 2:1.02.74-8
dnsmasq-base 2.62-3+deb7u1
dnsmasq-utils 2.62-3+deb7u1
