acpi-support-base 0.140-5+deb7u3
acpid 1:2.0.16-1+deb7u1
adduser 3.113+nmu3
apache2 2.2.22-13+deb7u3
apache2-mpm-worker 2.2.22-13+deb7u3
apache2-utils 2.2.22-13+deb7u3
apache2.2-bin 2.2.22-13+deb7u3
apache2.2-common 2.2.22-13+deb7u3
apt 0.9.7.9+deb7u6
apt-utils 0.9.7.9+deb7u6
augeas-lenses 0.10.0-1
augeas-tools 0.10.0-1
base-files 7.1wheezy7
base-passwd 3.5.26
bash 4.2+dfsg-0.1+deb7u3
bc 1.06.95-2+b1
bind9-host 1:9.8.4.dfsg.P1-6+nmu2+deb7u3
binutils 2.22-8
bsdmainutils 9.0.3
bsdutils 1:2.20.1-5.3
build-essential 11.5
bzip2 1.0.6-4
ca-certificates 20130119+deb7u1
ca-certificates-java 20121112+nmu2
cloud-init 0.7.2-3~bpo70+1
cloud-initramfs-growroot 0.18.debian5~bpo70+1
cloud-utils 0.26-2~bpo70+1
comerr-dev 2.1-1.42.5-1.1
coreutils 8.13-3.5
cpio 2.11+dfsg-0.1+deb7u1
cpp 4:4.7.2-1
cpp-4.7 4.7.2-5
cron 3.0pl1-124
curl 7.26.0-1+wheezy11
daemon 0.6.4-1
dash 0.5.7-3
dbconfig-common 1.8.47+nmu1
debconf 1.5.49
debconf-i18n 1.5.49
debian-archive-keyring 2014.1~deb7u1
debianutils 4.3.2
diffutils 1:3.2-6
dmidecode 2.11-9
dmsetup 2:1.02.74-8
dnsmasq 2.62-3+deb7u1
dnsmasq-base 2.62-3+deb7u1
dnsutils 1:9.8.4.dfsg.P1-6+nmu2+deb7u3
dpkg 1.16.15
dpkg-dev 1.16.15
e2fslibs:amd64 1.42.5-1.1
e2fsprogs 1.42.5-1.1
elasticsearch 1.0.3
erlang-asn1 1:15.b.1-dfsg-4+deb7u1
erlang-base 1:15.b.1-dfsg-4+deb7u1
erlang-corba 1:15.b.1-dfsg-4+deb7u1
erlang-crypto 1:15.b.1-dfsg-4+deb7u1
erlang-diameter 1:15.b.1-dfsg-4+deb7u1
erlang-edoc 1:15.b.1-dfsg-4+deb7u1
erlang-eldap 1:15.b.1-dfsg-4+deb7u1
erlang-erl-docgen 1:15.b.1-dfsg-4+deb7u1
erlang-eunit 1:15.b.1-dfsg-4+deb7u1
erlang-ic 1:15.b.1-dfsg-4+deb7u1
erlang-inets 1:15.b.1-dfsg-4+deb7u1
erlang-inviso 1:15.b.1-dfsg-4+deb7u1
erlang-mnesia 1:15.b.1-dfsg-4+deb7u1
